customer_experience,NPS,date,primary_category
"Axon failed to meet the expectations outlined in the our contract, and has made no attempts to correct the issue.",2,11/23/2022,Sales
There is no competition to compare you guys with or to get better pricing.,7,11/22/2022,Cost
Support after sales is underwhelming,5,11/22/2022,Customer Service
Price of product,5,11/22/2022,Cost
"I really like Axon produces however, it is very pricey doing business with Axon.",6,11/16/2022,Cost
"When Axon works, it is good.  Too many issues with the Cradlepoint device.  When attempting to contact my CSM, he may or may not call or email back.  CSM's or tier 1 tech support do not have much knowledge about the workings of the equipment.",5,11/16/2022,Product
"When Axon works, it is good.  Too many issues with the Cradlepoint device.  When attempting to contact my CSM, he may or may not call or email back.  CSM's or tier 1 tech support do not have much knowledge about the workings of the equipment.",5,11/16/2022,Customer Service
"Sometimes things take too long to implement, I'm talking about changes, new features, etc.",8,11/9/2022,Product
Products are far too cost prohibitive.,3,11/8/2022,Cost
As a development partner with CAD we had hopes that the product would be more developed that what has actually occurred.,5,11/7/2022,Product
Cannot get basic connections and subpar customer support.,3,11/5/2022,Sales
"Volume on videos was poorly handled. Some was very loud, some was very quiet. Several of the videos featured a person whose hands had hangnails and different colored painted nails, this is distracting and unprofessional. Some of the slides seemed to want audio yet had none. Many of the test questions were ridiculous and had nothing to do with things an end user should know. Finally, this product is over-engineered. It is made for Police Officers, not tech gurus. Only about half of the features of this device will be used by most patrol officers. The Body 3 should be simplified, just because you can add a feature doesn't mean you should. The quality of this training video left me questioning Axon's professional capabilities.",3,11/5/2022,Training
"Product is excellent, web portal is poorly designed and not user friendly.  A customer should not need to watch a 40-minute instructional video to register employees for a course provided by your company.",5,11/3/2022,Others
Your escalating costs are getting punitive.,7,11/2/2022,Cost
"The app and program don't work.  Tagging videos is cumbersome, multiple problems",0,11/2/2022,Product
too expensive for small departments,3,11/2/2022,Cost
Overpriced.,3,11/2/2022,Cost
"The BWC product is good, but we have been waiting a ridiculous amount of time for our Fleet 3 installation. Knowing the backlog, I will likely seek another vendor if they are not installed soon.",3,11/2/2022,Sales
Poor response or urgency to set up sytem from AXON representatives.,3,11/2/2022,Sales
Daily testing of the Taser 7 CQ has resulted in malfunctions in the safety switch on two units that are less than a year old.,3,11/2/2022,Product
I like Axon / Taser very much but pricing is getting a little out of hand.,7,11/2/2022,Cost
"It feels like Axon is pushing ""package"" deals that make it hard for smaller agencies to swap over to newer style weapons.  This agency does not need replacement cartridges as much as maybe an agency that uses there tasers more often.  We wish to buy what we feel we need as we go along.  Getting individual prices for anything seems nearly impossible.  My Chief is considering shelving tasers now because of this.",5,11/2/2022,Cost
the pricing is difficult to get a straight answer and the response to emails and calls are not timely,8,11/2/2022,Sales
"Great products, however, it is very expensive. Getting follow-through from staff is sometimes very slow and you have to re-connect with them several times.",7,11/2/2022,Cost
Battery life length on body cameras,6,11/1/2022,Product
The programs work well but are expensive.,7,11/1/2022,Cost
Equipment is great but the customer service is horrible. Axon is a monopoly and they use it to their advantage.,5,11/1/2022,Others
Axon has great equipment but the cost for some items is not feasible according to our city.,6,11/1/2022,Cost
"I like the product and the aspirations of the company overall.  I do have some concerns about quality of training, timely delivery of equipment (particularly VR), etc.  I would be likely to recommend Axon to a colleague, but I cannot currently say recommendation would be 100% positive.  So far my experience with sales staff (like Tom Richardson) have been great.",8,11/1/2022,Sales
Toooooooo Long. Asking the same questions over and over and over and over. Training should have been done in 2hrs. No Longer,1,11/1/2022,Training
The score would be higher if the items weren't so costly.,7,11/1/2022,Cost
"1) Sales: we have had no help from the local sales team in getting us the required information for another purchase. 
2) CSM: our CSM is so busy that I do not feel like we are getting the required support from him.
3) Products: products are being sold, but are on such a long and growing list of backorders. Took 2 years to get VR equipment. Still don't have Fleet 3 for our new generation vehicles. 

We am growing impatient with Axon and the service it provides to its customers.",1,11/1/2022,Sales
"1) Sales: we have had no help from the local sales team in getting us the required information for another purchase. 
2) CSM: our CSM is so busy that I do not feel like we are getting the required support from him.
3) Products: products are being sold, but are on such a long and growing list of backorders. Took 2 years to get VR equipment. Still don't have Fleet 3 for our new generation vehicles. 

We am growing impatient with Axon and the service it provides to its customers.",1,11/1/2022,Customer Service
"there are technology issues with staying synced between then phone app and the camera (using apple phones) if the phone and camera don't stay in close proximity the software logs you out of the app on the phone, won't reconnect you and you have to reinitiate the log in process.  This glitch is getting old and really needs to be resolved for the sake of simplifying labeling videos.",6,11/1/2022,Product
Mainly because at times we get a quick response but others it takes forever.,8,11/1/2022,Sales
"Locked our all the time, several mails with pins for logging videos, search does not bring all results, if out of our area mostly NO streets all manually",1,11/1/2022,Product
"Customer service has been terrible. Great product, however. No communication, lack of truthfulness and not enough support staff to train in a timely manner, to install product  etc.  Promises are made and never kept.",5,11/1/2022,Sales
billing could be better system. Products good,8,11/1/2022,Customer Service
To mush stuff repeats its self.,3,11/1/2022,Training
System keeps crashing. Also narrative in call is small in text.,1,11/1/2022,Product
